Feature,CPF,Disting,Distinct,Feat_Length,BR_Label,WB_Label,Feat_Source,Toddler_Access,SD_Toddler_Access_Ratings,N_Toddler_Access_Ratings
eg_-_tomato,1,D,1,11,taxonomic,subordinate,LLAMA,3.98,1.78,40
eg_-_USA,1,D,1,8,taxonomic,subordinate,LLAMA,3.05,1.71,38
eg_-_vanilla_cake,1,D,1,17,taxonomic,subordinate,MCSM,5.11,1.79,36
eg_-_vanilla_ice_cream,1,D,1,22,taxonomic,subordinate,LLAMA,4.7,1.96,43
eg_-_vegetables,2,D,0.5,15,taxonomic,subordinate,LLAMA,4.97,1.95,37
eg_-_video_game,1,D,1,15,taxonomic,subordinate,LLAMA,4.66,1.91,41
eg_-_walnuts,1,D,1,12,taxonomic,subordinate,LLAMA,3.71,1.97,41
eg_-_water,1,D,1,10,taxonomic,subordinate,LLAMA,5.39,1.96,41
eg_-_water_slide,1,D,1,16,taxonomic,subordinate,LLAMA,5.17,1.43,42
eg_-_watermelon,1,D,1,15,taxonomic,subordinate,LLAMA,4.22,1.69,40
eg_-_white_sauce,1,D,1,16,taxonomic,subordinate,LLAMA,3.24,1.84,74
eg_-_wood,1,D,1,9,taxonomic,subordinate,MCSM,4.4,2.12,35
eg_weeping,1,D,1,10,taxonomic,subordinate,MCSM,2.18,1.59,38
farming_equipment,1,D,1,17,taxonomic,superordinate,LLAMA,3.84,2.01,38
found_all_over_the_body,1,D,1,23,encyclopaedic,external_surface_property,LLAMA,4.31,1.65,36
found_at_bus_stops,1,D,1,18,encyclopaedic,location,MCSM,2.85,1.79,39
found_at_firehouses,2,D,0.5,19,encyclopaedic,location,LLAMA,5.39,1.86,36
found_at_funerals,1,D,1,17,encyclopaedic,location,MCSM,2.23,1.6,39
found_at_rodeos,1,D,1,15,encyclopaedic,location,LLAMA,3.18,1.96,33
found_at_tables,2,D,0.5,15,encyclopaedic,location,MCSM,4.94,1.64,35
found_at_the_end_of_a_gun,1,D,1,25,encyclopaedic,location,MCSM,1.61,1.07,41
found_at_the_top_of_stairs,1,D,1,26,encyclopaedic,location,LLAMA,3.95,2.04,39
found_at_top_of_body,1,D,1,20,visual-form_and_surface,location,LLAMA,5.58,1.72,71
found_at_trailer_parks,1,D,1,22,encyclopaedic,location,MCSM,3,1.76,39
found_behind_the_house,1,D,1,22,encyclopaedic,location,LLAMA,4.84,1.92,38
found_below_ground,1,D,1,18,encyclopaedic,location,MCSM,3.05,1.78,39
found_beside_pepper,1,D,1,19,encyclopaedic,location,LLAMA,3.24,1.78,38
found_beside_salt,1,D,1,17,encyclopaedic,location,MCSM,3.67,2.12,40
found_by_doors,1,D,1,14,encyclopaedic,location,MCSM,4.39,1.67,41
found_by_fires,1,D,1,14,encyclopaedic,location,LLAMA,4.71,1.68,38
found_by_houses,1,D,1,15,encyclopaedic,location,LLAMA,4.81,1.88,36
found_in_airports,1,D,1,17,encyclopaedic,location,MCSM,4.42,2.13,38
found_in_back_of_houses,1,D,1,23,encyclopaedic,location,LLAMA,3.44,1.76,34
found_in_back_yards,1,D,1,19,encyclopaedic,location,MCSM,4.79,1.69,39
found_in_ballrooms,1,D,1,18,encyclopaedic,location,MCSM,1.81,1.21,36
found_in_banks,1,D,1,14,encyclopaedic,location,LLAMA,3.66,1.86,38
found_in_bars,2,D,0.5,13,encyclopaedic,location,MCSM,1.51,1.1,37
found_in_basements,1,D,1,18,encyclopaedic,location,MCSM,3.17,1.57,40
found_in_bathrooms,15,ND,0.067,18,encyclopaedic,location,MCSM,5.64,1.57,36
found_in_bathtubs,1,D,1,17,encyclopaedic,location,MCSM,5.03,1.54,40
found_in_bedrooms,5,ND,0.2,17,encyclopaedic,location,MCSM,4.69,1.86,68
found_in_books,1,D,1,14,encyclopaedic,location,LLAMA,5.12,1.56,42
found_in_buildings,5,ND,0.2,18,encyclopaedic,location,MCSM,3.4,1.77,42
found_in_cafeterias,1,D,1,19,encyclopaedic,location,MCSM,2.48,1.5,40
found_in_cars,2,D,0.5,13,encyclopaedic,location,MCSM,3.71,1.7,34
found_in_cartoons,1,D,1,17,encyclopaedic,location,MCSM,4.31,1.92,39
found_in_cities,3,ND,0.333,15,encyclopaedic,location,MCSM,4.14,1.97,36
found_in_clams,1,D,1,14,encyclopaedic,location,MCSM,2.69,1.58,39
found_in_classrooms,3,ND,0.333,19,encyclopaedic,location,MCSM,3.86,2.11,36
found_in_closets,1,D,1,16,encyclopaedic,location,MCSM,4,2.14,36
found_in_cupboards,2,D,0.5,18,encyclopaedic,location,MCSM,4.45,1.66,38
found_in_dens,1,D,1,13,encyclopaedic,location,MCSM,2.89,1.69,36
found_in_deserts,1,D,1,16,encyclopaedic,location,MCSM,3.12,1.93,41
found_in_dining_rooms,2,D,0.5,21,encyclopaedic,location,MCSM,4.05,1.51,37
found_in_Egypt,1,D,1,14,encyclopaedic,location,MCSM,2.92,1.9,40
found_in_forests,3,ND,0.333,16,encyclopaedic,location,MCSM,3.37,2.06,38
found_in_freezers,2,D,0.5,17,encyclopaedic,location,LLAMA,4.88,1.77,40
found_in_front_of_houses,1,D,1,24,encyclopaedic,location,LLAMA,3.97,1.82,38
found_in_gardens,1,D,1,16,encyclopaedic,location,MCSM,4.31,1.64,35
found_in_grocery_stores,1,D,1,23,encyclopaedic,location,MCSM,4.08,1.71,37
found_in_hair_salons,1,D,1,20,encyclopaedic,location,MCSM,2.54,1.62,39
found_in_hallways,1,D,1,17,encyclopaedic,location,MCSM,3.83,1.77,35
found_in_high-rises,1,D,1,19,encyclopaedic,location,MCSM,2.2,1.42,40
found_in_houses,15,ND,0.067,15,encyclopaedic,location,MCSM,4.78,1.64,40
found_in_kitchens,35,ND,0.029,17,encyclopaedic,location,MCSM,5.08,1.67,37
found_in_laboratories,1,D,1,21,encyclopaedic,location,MCSM,2.22,1.4,37
found_in_large_cities,1,D,1,21,encyclopaedic,location,MCSM,2.77,1.77,39
found_in_libraries,5,ND,0.2,18,encyclopaedic,location,MCSM,4.81,2.08,37
found_in_living_rooms,2,D,0.5,21,encyclopaedic,location,MCSM,4.89,1.43,37
found_in_malls,1,D,1,14,encyclopaedic,location,MCSM,3.4,1.85,40
found_in_mouth,2,D,0.5,14,encyclopaedic,location,LLAMA,5.34,1.51,38
found_in_New_York,1,D,1,17,encyclopaedic,location,MCSM,2.36,1.63,39
found_in_oceans,2,D,0.5,15,encyclopaedic,location,MCSM,2.9,1.79,40
found_in_offices,2,D,0.5,16,encyclopaedic,location,MCSM,2.79,1.92,38
found_in_orchestras,1,D,1,19,encyclopaedic,location,MCSM,1.97,1.36,34
found_in_oysters,1,D,1,16,encyclopaedic,location,MCSM,3.03,1.55,39
found_in_parks,5,ND,0.2,14,encyclopaedic,location,MCSM,5.53,1.38,36
found_in_pharmacies,1,D,1,19,encyclopaedic,location,LLAMA,2.83,1.52,35
found_in_playgrounds,2,D,0.5,20,encyclopaedic,location,LLAMA,6.03,1.32,36
found_in_rooms,1,D,1,14,encyclopaedic,location,MCSM,5.15,1.49,41
found_in_schools,3,ND,0.333,16,encyclopaedic,location,MCSM,4.36,1.74,36
found_in_seas,2,D,0.5,13,encyclopaedic,location,MCSM,3.94,1.93,36
found_in_sewing_kits,1,D,1,20,encyclopaedic,location,MCSM,2.24,1.39,34
found_in_shakers,1,D,1,16,encyclopaedic,location,LLAMA,4.22,1.91,40
found_in_sinks,1,D,1,14,encyclopaedic,location,MCSM,4.35,2,34
found_in_space,1,D,1,14,encyclopaedic,location,LLAMA,4.41,1.73,76
found_in_summer,2,D,0.5,15,encyclopaedic,time,MCSM,4.08,1.97,39
found_in_the_country,4,ND,0.25,20,encyclopaedic,location,MCSM,3.2,1.87,40
found_in_the_sky,3,ND,0.333,16,encyclopaedic,location,LLAMA,5.47,1.64,38
found_in_toolboxes,4,ND,0.25,18,encyclopaedic,location,MCSM,3.38,1.77,37
found_in_trees,1,D,1,14,encyclopaedic,location,MCSM,4.18,1.89,38
found_in_vases,1,D,1,14,encyclopaedic,location,MCSM,3.19,1.74,36
found_in_water,1,D,1,14,encyclopaedic,location,MCSM,3.97,1.87,39
found_in_workshops,1,D,1,18,encyclopaedic,location,MCSM,2.43,1.48,37
found_near_the_ocean,3,ND,0.333,20,encyclopaedic,location,MCSM,4.47,1.65,40
found_near_the_sea,1,D,1,18,encyclopaedic,location,LLAMA,4.29,1.67,35
found_near_the_water,2,D,0.5,20,encyclopaedic,location,MCSM,3.98,2.06,40
found_on_animals,1,D,1,16,encyclopaedic,external_surface_property,LLAMA,5.2,1.76,40
found_on_beaches,1,D,1,16,encyclopaedic,location,MCSM,5.68,1.62,37
found_on_beds,3,ND,0.333,13,encyclopaedic,location,MCSM,5.1,1.72,40
found_on_belts,1,D,1,14,encyclopaedic,location,MCSM,4.16,1.53,38
found_on_boats,2,D,0.5,14,encyclopaedic,location,MCSM,3.83,1.84,40
found_on_ceilings,1,D,1,17,encyclopaedic,location,MCSM,4.64,1.63,67
found_on_chains,1,D,1,15,encyclopaedic,location,MCSM,3.13,1.84,39
found_on_chairs,1,D,1,15,encyclopaedic,location,MCSM,5,1.89,34
found_on_couches,1,D,1,16,encyclopaedic,location,MCSM,5.38,1.79,39
found_on_doors,1,D,1,14,encyclopaedic,location,MCSM,5.61,1.48,36
found_on_farms,1,D,1,14,encyclopaedic,location,MCSM,5.17,2.01,40
found_on_floors,3,ND,0.333,15,encyclopaedic,location,MCSM,4.89,1.8,38
found_on_front_of_head,1,D,1,22,encyclopaedic,location,LLAMA,5.32,1.8,37
found_on_gifts,1,D,1,14,encyclopaedic,location,MCSM,5.28,1.73,36
found_on_horses_backs,1,D,1,21,encyclopaedic,location,MCSM,4.15,1.59,66
found_on_humans,2,D,0.5,15,encyclopaedic,location,LLAMA,4.66,1.92,35
found_on_lawns,1,D,1,14,encyclopaedic,location,LLAMA,5.31,1.56,72
found_on_men,1,D,1,12,encyclopaedic,location,LLAMA,3.29,2.05,38
found_on_phones,1,D,1,15,encyclopaedic,location,LLAMA,3.55,1.98,38
found_on_porches,1,D,1,16,encyclopaedic,location,LLAMA,3.97,1.69,35
found_on_shelves,1,D,1,16,encyclopaedic,location,MCSM,4.35,1.81,40
found_on_shoes,1,D,1,14,encyclopaedic,location,MCSM,3.78,1.87,37
found_on_sinks,1,D,1,14,encyclopaedic,location,MCSM,3.24,2.01,38
found_on_tables,3,ND,0.333,15,encyclopaedic,location,MCSM,4.08,1.85,37
found_on_the_bottom_floor,1,D,1,25,encyclopaedic,location,MCSM,3.83,1.72,35
found_on_the_nickel,1,D,1,19,encyclopaedic,location,MCSM,2.11,1.62,38
found_on_walls,8,ND,0.125,14,encyclopaedic,location,MCSM,4.05,1.79,42
found_on_water,2,D,0.5,14,encyclopaedic,location,MCSM,5.38,1.52,37
found_outdoors,11,ND,0.091,14,encyclopaedic,location,MCSM,5.24,1.79,38
found_over_bathtubs,1,D,1,19,encyclopaedic,location,MCSM,4.3,1.82,73
found_over_sinks,1,D,1,16,encyclopaedic,location,MCSM,4.2,1.86,40
found_over_water,1,D,1,16,encyclopaedic,location,MCSM,3.64,1.88,39
found_underground,1,D,1,17,encyclopaedic,location,MCSM,2.49,2.01,37
fruit_flavoured,2,D,0.5,15,taste,internal_surface_property,LLAMA,5.11,1.66,35
furniture,12,ND,0.083,9,taxonomic,superordinate,MCSM,4.76,1.52,37
grape_flavoured,1,D,1,15,taste,internal_surface_property,LLAMA,4.67,1.66,39
grows_in_blades,1,D,1,15,visual-form_and_surface,systemic_property,LLAMA,2.78,1.7,37
grows_in_California,1,D,1,19,encyclopaedic,location,MCSM,1.84,1.19,37
grows_in_dirt,1,D,1,13,encyclopaedic,location,LLAMA,4.92,1.57,36
grows_in_fields,2,D,0.5,15,encyclopaedic,location,MCSM,4.31,1.39,36
grows_in_Florida,3,ND,0.333,16,encyclopaedic,location,MCSM,3.02,1.9,40
grows_in_forests,5,ND,0.2,16,encyclopaedic,location,MCSM,4.16,2.05,37
grows_in_gardens,22,ND,0.045,16,encyclopaedic,location,MCSM,4.55,1.66,40
grows_in_grass,1,D,1,14,encyclopaedic,location,MCSM,4.86,1.79,36
grows_in_Hawaii,1,D,1,15,encyclopaedic,location,MCSM,2.63,1.7,38
grows_in_oceans,1,D,1,15,encyclopaedic,location,MCSM,3.87,1.74,38
grows_in_patches,1,D,1,16,encyclopaedic,location,MCSM,3.02,1.6,41
grows_in_pods,2,D,0.5,13,encyclopaedic,origin,MCSM,2.95,1.5,39
grows_in_seas,1,D,1,13,encyclopaedic,location,MCSM,4.49,1.62,35
grows_in_the_ground,9,ND,0.111,19,encyclopaedic,location,MCSM,4.79,1.6,38
grows_in_the_summer,1,D,1,19,encyclopaedic,time,MCSM,3.24,1.8,37
grows_in_the_wild,1,D,1,17,encyclopaedic,location,MCSM,2.96,1.82,74
grows_in_tropical_climates,1,D,1,26,encyclopaedic,location,MCSM,2.66,1.94,38
grows_in_warm_climates,4,ND,0.25,22,encyclopaedic,location,MCSM,2.17,1.42,36
grows_in_water,2,D,0.5,14,encyclopaedic,location,MCSM,3.11,2.01,38
grows_on_bushes,4,ND,0.25,15,encyclopaedic,origin,MCSM,3.82,2.13,38
grows_on_houses,1,D,1,15,encyclopaedic,location,MCSM,3.03,1.74,70
grows_on_palm_trees,1,D,1,19,encyclopaedic,origin,MCSM,3.28,1.73,36
grows_on_plants,2,D,0.5,15,encyclopaedic,origin,MCSM,3.87,1.94,39
grows_on_the_ground,3,ND,0.333,19,encyclopaedic,location,MCSM,4.33,1.94,36
grows_on_trees,20,ND,0.05,14,encyclopaedic,origin,MCSM,4.72,1.72,39
grows_on_vines,7,ND,0.143,14,encyclopaedic,origin,MCSM,2.56,1.63,36
grows_underground,4,ND,0.25,17,encyclopaedic,location,MCSM,3.53,1.66,36
has_>_4_wheels,1,D,1,14,visual-form_and_surface,external_component,MCSM,5.68,1.4,37
has_1_level,1,D,1,11,visual-form_and_surface,external_component,MCSM,2.48,1.84,40
has_1_piece,1,D,1,11,visual-form_and_surface,external_component,MCSM,3.88,1.82,34
has_1_wheel,2,D,0.5,11,visual-form_and_surface,external_component,MCSM,4.1,1.92,39
has_18_wheels,1,D,1,13,visual-form_and_surface,external_component,MCSM,2.86,1.91,36
has_2_arms,1,D,1,10,visual-form_and_surface,external_component,MCSM,5.12,1.54,33
has_2_blades,1,D,1,12,visual-form_and_surface,external_component,MCSM,2.83,1.63,36
has_2_buttons,1,D,1,13,visual-form_and_surface,external_component,MCSM,3.46,2.05,37
has_2_feet,2,D,0.5,10,visual-form_and_surface,external_component,MCSM,5.17,1.64,42
has_2_handles,1,D,1,13,visual-form_and_surface,external_component,MCSM,3.77,1.71,74
has_2_humps,1,D,1,11,visual-form_and_surface,external_component,MCSM,4.03,1.61,40
has_2_legs,4,ND,0.25,10,visual-form_and_surface,external_component,MCSM,4.55,1.96,40
has_2_pieces,2,D,0.5,12,visual-form_and_surface,external_component,MCSM,4.26,1.81,38
has_2_pointed_ends,1,D,1,18,visual-form_and_surface,external_surface_property,MCSM,4.28,1.77,36
has_2_prongs,1,D,1,12,visual-form_and_surface,external_component,MCSM,2.71,1.87,38
has_2_wheels,7,ND,0.143,12,visual-form_and_surface,external_component,MCSM,5.26,1.5,35
has_3_buttons,1,D,1,13,visual-form_and_surface,external_component,MCSM,4.03,1.64,35
has_3_legs,1,D,1,10,visual-form_and_surface,external_component,MCSM,2.68,1.96,38
has_3_prongs,1,D,1,12,visual-form_and_surface,external_component,MCSM,2.71,1.72,73
has_3_valves,1,D,1,12,visual-form_and_surface,external_component,MCSM,1.76,1.4,38
has_3_wheels,1,D,1,12,visual-form_and_surface,external_component,MCSM,4.82,1.55,39
has_4_doors,1,D,1,11,visual-form_and_surface,external_component,MCSM,3.97,1.5,39
has_4_hoofs,1,D,1,11,visual-form_and_surface,external_component,MCSM,3.95,1.92,38
has_4_legs,51,ND,0.02,10,visual-form_and_surface,external_component,MCSM,5.32,1.76,38
has_4_prongs,1,D,1,12,visual-form_and_surface,external_component,MCSM,3.4,2.05,70
has_4_sides,1,D,1,11,visual-form_and_surface,external_component,MCSM,4.58,2.01,73
has_4_wheels,12,ND,0.083,12,visual-form_and_surface,external_component,MCSM,5.31,1.56,36
has_5_fingers,1,D,1,13,visual-form_and_surface,external_component,LLAMA,5.46,1.6,39
has_6_bullets,1,D,1,13,encyclopaedic,associated_entity,MCSM,1.51,1.04,37
has_6_legs,3,ND,0.333,10,visual-form_and_surface,external_component,MCSM,3.81,1.79,69
has_6_sides,1,D,1,11,visual-form_and_surface,external_component,MCSM,2.57,1.88,76
has_8_legs,1,D,1,10,visual-form_and_surface,external_component,MCSM,5,1.64,39
has_8_tentacles,1,D,1,15,visual-form_and_surface,external_component,MCSM,4.38,1.89,37
has_a_(truck)_bed,1,D,1,17,visual-form_and_surface,external_component,LLAMA,3.78,2.02,37
has_a_back,2,D,0.5,10,visual-form_and_surface,external_component,MCSM,4.22,1.64,36
has_a_badge,1,D,1,11,visual-form_and_surface,external_component,LLAMA,4.55,1.86,38
has_a_bag,4,ND,0.25,9,visual-form_and_surface,external_component,MCSM,3.79,1.88,38
has_a_bag,4,ND,0.25,9,visual-form_and_surface,internal_component,MCSM,3.79,1.88,38
has_a_balcony,1,D,1,13,visual-form_and_surface,external_component,MCSM,3.11,2.04,37
has_a_ball,1,D,1,10,visual-form_and_surface,external_component,MCSM,3.2,2.14,35
has_a_ball_inside,1,D,1,17,visual-form_and_surface,internal_component,MCSM,3.03,1.88,37
has_a_ball_point,1,D,1,16,visual-form_and_surface,external_component,MCSM,2.16,1.6,38
has_a_band,1,D,1,10,visual-form_and_surface,external_component,LLAMA,3.24,1.63,67
has_a_bar,1,D,1,9,encyclopaedic,internal_component,MCSM,1.55,1.18,38
has_a_barrel,2,D,0.5,12,visual-form_and_surface,external_component,MCSM,2.08,1.4,36
has_a_basement,1,D,1,14,visual-form_and_surface,internal_component,MCSM,3,2.04,41
has_a_basket,1,D,1,12,visual-form_and_surface,external_component,LLAMA,3.66,1.92,38
has_a_bathroom,1,D,1,14,visual-form_and_surface,internal_component,MCSM,4.69,2.16,36
has_a_bathtub,1,D,1,13,visual-form_and_surface,internal_component,LLAMA,5.81,1.51,36
has_a_beach,1,D,1,11,visual-form_and_surface,external_component,LLAMA,3.51,1.89,37
has_a_beak,40,ND,0.025,10,visual-form_and_surface,external_component,MCSM,5.26,1.72,38
has_a_beard,2,D,0.5,11,visual-form_and_surface,external_component,MCSM,4.39,1.71,36
has_a_bed,3,ND,0.333,9,visual-form_and_surface,internal_component,MCSM,5.16,1.57,37
has_a_bedroom,1,D,1,13,visual-form_and_surface,internal_component,MCSM,4.85,1.69,40
has_a_bell,2,D,0.5,10,encyclopaedic,associated_entity,MCSM,4.22,1.53,36
has_a_bell,2,D,0.5,10,visual-form_and_surface,internal_component,MCSM,4.22,1.53,36
has_a_belly_button,1,D,1,18,visual-form_and_surface,external_component,LLAMA,6.21,1.26,38
has_a_belt,1,D,1,10,visual-form_and_surface,external_component,MCSM,3.97,1.69,35
has_a_bench,1,D,1,11,encyclopaedic,associated_entity,MCSM,3.84,1.69,37
has_a_bill,2,D,0.5,10,visual-form_and_surface,external_component,MCSM,3.92,1.76,36
has_a_bin,1,D,1,9,visual-form_and_surface,external_component,MCSM,3.05,1.65,37
has_a_blade,6,ND,0.167,11,visual-form_and_surface,external_component,MCSM,2.84,1.76,37
has_a_boss,1,D,1,10,encyclopaedic,systemic_property,LLAMA,3,1.75,40
has_a_bow,1,D,1,9,encyclopaedic,associated_entity,MCSM,2.6,1.62,67
has_a_bow_(ribbon),1,D,1,18,visual-form_and_surface,external_component,LLAMA,5.53,1.45,40
has_a_box_spring,1,D,1,16,visual-form_and_surface,external_component,MCSM,2.56,1.89,36
has_a_bracelet,1,D,1,14,encyclopaedic,associated_entity,LLAMA,2.71,1.54,35
has_a_brain,1,D,1,11,visual-form_and_surface,internal_component,LLAMA,3.81,1.84,37
has_a_breast,1,D,1,12,visual-form_and_surface,external_component,MCSM,2.27,1.58,40
has_a_brown_outside,1,D,1,19,visual-colour,external_surface_property,MCSM,4.24,1.8,37
has_a_bun,1,D,1,9,visual-form_and_surface,external_component,LLAMA,5.08,1.63,78
has_a_bushy_tail,1,D,1,16,visual-form_and_surface,external_component,MCSM,5.37,1.6,38
has_a_caboose,1,D,1,13,visual-form_and_surface,external_component,MCSM,4.32,1.93,38
has_a_candle,1,D,1,12,visual-form_and_surface,external_component,MCSM,3.17,1.84,36
has_a_cap,2,D,0.5,9,visual-form_and_surface,external_component,MCSM,3.25,1.76,36
has_a_carpet,2,D,0.5,12,visual-form_and_surface,internal_component,LLAMA,4.73,1.69,78
has_a_carrot_nose,1,D,1,17,visual-form_and_surface,external_component,LLAMA,4.74,1.82,42
has_a_carrying_capacity,1,D,1,23,encyclopaedic,systemic_property,MCSM,2.11,1.51,35
has_a_case,1,D,1,10,encyclopaedic,associated_entity,MCSM,3.25,1.89,40
has_a_cassette_deck,1,D,1,19,visual-form_and_surface,external_component,MCSM,2.22,1.8,37
has_a_CD_player,1,D,1,15,visual-form_and_surface,external_component,MCSM,3.14,1.73,71
has_a_ceiling,1,D,1,13,visual-form_and_surface,internal_component,LLAMA,4.82,1.62,39
has_a_chain,3,ND,0.333,11,visual-form_and_surface,external_component,MCSM,3.64,1.74,36
has_a_charm,1,D,1,11,visual-form_and_surface,external_component,MCSM,2.37,1.48,43
has_a_chin,1,D,1,10,visual-form_and_surface,external_component,LLAMA,5.38,1.27,42
has_a_chin_rest,1,D,1,15,visual-form_and_surface,external_component,MCSM,2.64,1.87,39
has_a_choir,1,D,1,11,encyclopaedic,associated_entity,LLAMA,2.97,1.52,36
has_a_clasp,2,D,0.5,11,visual-form_and_surface,external_component,MCSM,2.09,1.34,43
has_a_cleft,1,D,1,11,visual-form_and_surface,external_surface_property,LLAMA,2.22,1.74,41
has_a_clefted_head/claw,1,D,1,23,visual-form_and_surface,external_component,MCSM,1.42,0.76,38
has_a_clitoris,1,D,1,14,visual-form_and_surface,internal_component,LLAMA,1.8,1.6,41
has_a_closet,1,D,1,12,visual-form_and_surface,internal_component,MCSM,4.74,1.57,39
has_a_collar,2,D,0.5,12,visual-form_and_surface,external_component,MCSM,2.83,1.87,40
has_a_comb,1,D,1,10,visual-form_and_surface,external_component,MCSM,2.52,1.54,40
has_a_comforter,1,D,1,15,encyclopaedic,associated_entity,MCSM,3.56,2.17,36
has_a_concave_end/ladle,1,D,1,23,visual-form_and_surface,external_component,MCSM,2.83,2.04,40
has_a_congregation,2,D,0.5,18,encyclopaedic,associated_entity,MCSM,2.07,1.63,75
has_a_container,1,D,1,15,visual-form_and_surface,external_component,MCSM,2.97,1.69,37
has_a_cord,4,ND,0.25,10,visual-form_and_surface,external_component,MCSM,4.29,1.85,70
has_a_core,2,D,0.5,10,visual-form_and_surface,internal_component,MCSM,3.3,2,40
has_a_cork,1,D,1,10,visual-form_and_surface,external_component,MCSM,2.45,1.46,74
has_a_couch,1,D,1,11,visual-form_and_surface,internal_component,LLAMA,4.72,1.68,40
has_a_cover,2,D,0.5,11,visual-form_and_surface,external_component,MCSM,3.37,1.67,38
has_a_covering,1,D,1,14,visual-form_and_surface,external_component,MCSM,3.23,1.87,39
has_a_cross,2,D,0.5,11,encyclopaedic,associated_entity,MCSM,3.82,1.77,38
has_a_crust,3,ND,0.333,11,visual-form_and_surface,external_component,MCSM,4.46,1.57,37
has_a_curly_end,1,D,1,15,visual-form_and_surface,external_component,MCSM,3.26,2.13,38
has_a_curly_tail,1,D,1,16,visual-form_and_surface,external_component,MCSM,4.97,1.46,39
has_a_cushion,2,D,0.5,13,visual-form_and_surface,external_component,MCSM,4.41,1.88,37
has_a_dead_nose,1,D,1,15,visual-form_and_surface,external_component,MCSM,1.35,0.88,34
has_a_deck,1,D,1,10,encyclopaedic,associated_entity,LLAMA,3.42,1.76,38
has_a_dial,1,D,1,10,visual-form_and_surface,external_component,MCSM,3.33,2.11,36
has_a_diaper,1,D,1,12,encyclopaedic,associated_entity,LLAMA,6.15,1.39,40
has_a_dishwasher,1,D,1,16,visual-form_and_surface,internal_component,LLAMA,3.27,1.88,37
has_a_diving_board,1,D,1,18,visual-form_and_surface,external_component,LLAMA,3.97,1.92,36
has_a_door,7,ND,0.143,10,visual-form_and_surface,external_component,MCSM,5.55,1.67,65
has_a_drain,3,ND,0.333,11,visual-form_and_surface,external_component,MCSM,4.18,1.78,38
has_a_drain_plug,3,ND,0.333,16,encyclopaedic,associated_entity,MCSM,3.36,2.18,39
has_a_dress,2,D,0.5,11,encyclopaedic,associated_entity,LLAMA,5.05,1.82,39
has_a_dresser,1,D,1,13,visual-form_and_surface,internal_component,MCSM,3.83,1.95,78
has_a_face,2,D,0.5,10,visual-form_and_surface,external_component,MCSM,4.9,1.92,39
has_a_farmer,1,D,1,12,encyclopaedic,associated_entity,LLAMA,5.16,1.9,38
has_a_farmhouse,1,D,1,15,visual-form_and_surface,external_component,LLAMA,4.2,1.94,35
has_a_faucet,1,D,1,12,visual-form_and_surface,internal_component,LLAMA,4.78,1.82,36
has_a_fence,2,D,0.5,11,visual-form_and_surface,external_component,LLAMA,4.94,1.43,36
has_a_filter,1,D,1,12,visual-form_and_surface,internal_component,MCSM,1.85,1.44,39
has_a_finish_signal,1,D,1,19,sound,external_surface_property,MCSM,3.89,2.22,35
has_a_fireplace,1,D,1,15,visual-form_and_surface,internal_component,MCSM,2.72,1.78,39
has_a_flash,1,D,1,11,visual-form_and_surface,external_component,LLAMA,3.88,1.91,40
has_a_flat_head,1,D,1,15,visual-form_and_surface,external_component,MCSM,3.2,1.98,35
has_a_flat_head_(slot),1,D,1,22,visual-form_and_surface,external_component,MCSM,2.26,1.37,39
has_a_flat_surface,1,D,1,18,visual-form_and_surface,external_surface_property,MCSM,3.92,1.75,40
has_a_foot_rest,1,D,1,15,visual-form_and_surface,external_component,MCSM,3.73,1.94,41
has_a_foundation,1,D,1,16,visual-form_and_surface,external_component,MCSM,1.86,1.53,37
has_a_frame,4,ND,0.25,11,visual-form_and_surface,external_component,MCSM,2.76,1.57,37
has_a_freezer,2,D,0.5,13,visual-form_and_surface,internal_component,MCSM,3.97,2.04,35
has_a_furnace,1,D,1,13,visual-form_and_surface,internal_component,MCSM,2.52,1.68,40
has_a_garden,2,D,0.5,12,encyclopaedic,associated_entity,LLAMA,4.47,1.63,36
has_a_garden,2,D,0.5,12,visual-form_and_surface,external_component,LLAMA,4.47,1.63,36
has_a_government,1,D,1,16,encyclopaedic,associated_abstract_entity,LLAMA,1.61,1.22,38
has_a_green_outside,1,D,1,19,visual-colour,external_surface_property,MCSM,3.94,2.4,36
has_a_green_stem,1,D,1,16,visual-colour,external_component,MCSM,4.22,1.86,41
has_a_green_top,2,D,0.5,15,visual-colour,external_component,MCSM,4.51,1.73,37
has_a_guard,1,D,1,11,visual-form_and_surface,external_component,MCSM,2.7,1.76,37
has_a_hand_grip,1,D,1,15,visual-form_and_surface,external_component,MCSM,2.82,1.73,39
has_a_handle,44,ND,0.023,12,visual-form_and_surface,external_component,MCSM,4.03,1.91,37
has_a_hard_cover,2,D,0.5,16,visual-form_and_surface,external_component,MCSM,3.92,1.89,37
has_a_hard_shell,3,ND,0.333,16,tactile,external_component,MCSM,4.38,1.8,37
has_a_hat,1,D,1,9,encyclopaedic,associated_entity,LLAMA,4.97,1.56,39
has_a_hay_loft,1,D,1,14,visual-form_and_surface,internal_component,MCSM,3.45,1.72,38
has_a_head,7,ND,0.143,10,visual-form_and_surface,external_component,MCSM,3.92,2.31,39
has_a_headboard,1,D,1,15,visual-form_and_surface,external_component,MCSM,3.16,1.88,37
has_a_hidden_bed,1,D,1,16,visual-form_and_surface,internal_component,MCSM,3,1.87,38
